Text,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Terror is the mind's tempest.,4.3,4.8,-0.4,2.2,6.1
The valiant are the cartographers of possibility.,2.8,4.7,3.1,5,2
Faultlessness is the fountain of amazement.,5.2,3.1,4.2,4.8,0.3
Revelry is the constant flow.,2.9,3.4,3.3,4.8,1.6
Nurturing is the reflection of the heart.,2.7,4.8,5,2.1,-0.7
Dread is the psyche's whirlwind.,4.4,4.9,-0.5,2.1,6.2
Brave explorers are the drafters of tomorrow.,2.7,4.9,3,4.6,2.1
Perfection is the wellspring of miracles.,5.3,3,4.3,4.9,0.2
Gaiety is the ceaseless river.,2.8,3.5,3.2,4.9,1.7
Affection is the mirror of the soul.,2.6,4.7,4.6,2,-0.8
Fright is the heart's tornado.,4.5,5,-0.6,2,6.3
The audacious are the architects of dreams.,2.6,4.8,2.9,4.7,2.2
Infallibility is the origin of the sublime.,5.4,2.9,4.4,5,0.1
Joviality is the infinite ocean.,2.7,3.6,3.1,5,1.8
Kindheartedness is the soul's image.,2.5,5,4.7,1.9,-0.9
Scare is the spirit's cyclone.,4.6,4.6,-0.7,1.9,6.4
Courageous hearts are the composers of the new dawn.,2.5,4.9,2.8,4.8,2.3
Flawlessness is the birthplace of the divine.,5.5,2.8,4.5,4.6,0
Delight is the endless stream.,2.6,3.7,3,4.9,1.9
Compassionate actions are the reflection of the inner self.,2.4,4.6,4.8,1.8,-1
Alarm is the soul's tempest.,4.7,4.7,-0.8,1.8,6.5
Fearless spirits are the sculptors of new horizons.,2.4,4.8,2.7,4.9,2.4
Immaculateness is the cradle of the extraordinary.,5.6,2.7,4.6,4.7,-0.1
Joy is the eternal fountain.,2.5,3.8,2.9,5,2
Warm-heartedness is the true reflection of the soul.,2.3,4.9,4.9,1.7,-1.1
Shock is the heart's storm.,4.8,4.8,-0.9,1.7,6.6
Intrepid souls are the carvers of destiny.,2.3,4.7,2.6,5,2.5
Impeccability is the sanctuary of the unimaginable.,5.7,2.6,4.7,4.8,-0.2
Bliss is the unceasing spring.,2.4,3.9,2.8,4.8,2.1
Charitableness is the inner self's true face.,2.2,4.8,5,1.6,-1.2
Horror is the soul's tsunami.,4.9,4.9,-1,1.6,6.7
"Sleep: trial version of death, less commitment. 😂",4.5,2,4.2,3.7,3.1
"Life rule: If your dog doesn’t trust them, neither should you. 🐶🚫",3.2,4.7,3.5,2.1,2.6
Coffee: because adulting is hard. ☕💪,4.8,2.3,4.6,4,3.4
Why make enemies when you can make pizza? 🍕❤️,5,2.8,4.1,4.8,1.5
Relationship status: in a symbiotic relationship with my bed. 😴💕,3.6,1.8,3.7,3.2,4
‘Just one more episode’ - famous last words. 📺⌛,4.1,1.5,4.4,3.4,3.7
Life’s short. Eat the cake. 🍰😌,5.2,1.9,3.9,4.5,2.2
Decaf coffee is like a hairless cat: weird and confusing. ☕🐱,4.7,2.4,3.8,3.6,3
Adulting: realizing you’re excited about a cancelled plan. 📆❌😁,3.9,3.1,4.2,3.8,2.8
"Fitness tip: Your body is a temple, but also a fantastic amusement park. 🎢💪",4.4,4.1,4.5,4.2,2.5
Sarcasm: because arguing with stupid people isn’t worth your time. 🙃,3.7,4.3,3.4,2.3,3.3
Yoga: how to contort your body while also staying zen. 🧘‍♀️✨,5.1,3.5,3.6,4.3,1.8
Spotted: my motivation trying to escape on a Monday. 🏃‍♂️🚫,3.4,2.6,4,3.1,3.9
Reality check: even my coffee needs coffee on Mondays. ☕☕,4.3,2.1,4.3,3.5,3.5
"Plot twist: I didn’t choose the snack life, the snack life chose me. 🍫🙌",4.9,1.6,3.8,4.4,2.3
"Life hack: silence is golden, duct tape is silver. 🤫🔒",3.3,4.5,3.3,2.5,2.9
Warning: I am not responsible for what my face does when you talk. 🤨🚫,3.1,3.8,3.2,2,3.7
Breaking: My bed is a magical place where I suddenly remember everything I forgot to do. 🛏️💡,3.5,2,3.9,3.3,4.1
"Confirmed: I’m not lazy, I’m on energy-saving mode. 😴🔋",3.8,1.7,3.5,3.7,3.2
Life update: currently holding it all together with one bobby pin. 🔧🧷,3.2,3.4,3.6,2.9,4.3
"Fitness reality: I do marathons, on Netflix. 🏃‍♀️📺",4.6,1.3,4.7,4.1,2.7
Pro tip: ‘No’ is a complete sentence. ✋🚫,3,4.6,2.9,2.2,2.5
Alert: My favorite exercise is a cross between a lunge and a crunch. I call it lunch. 🥪💪,5.3,1.4,4,4.6,1.9
"Daily struggle: I’m not arguing, I’m just explaining why I’m right. 🤷‍♀️💬",3.4,4.2,3.1,1.8,3.8
"Fact: I’m on a seafood diet. I see food, and I eat it. 🦐🍔",4.8,1.1,4.2,4.7,1.7
Reminder: You don’t have to attend every argument you’re invited to. 🙅‍♂️🎫,2.9,4.9,2.8,2.4,2.1
"Newsflash: I never make the same mistake twice. I make it like five or six times, you know, just to be sure. 🔄❌",3.5,2.3,3.7,2.7,3.6
Reality: I’m not an early bird or a night owl. I’m some form of permanently exhausted pigeon. 🦉😴,3.7,1.9,3.4,3,4.5
Status: Currently experiencing life at the speed of 15 WTFs per hour. 🚀⁉️,3.3,2,4.3,2.6,4.2
Truth: I didn’t fall. The floor just needed a hug. 🤗🔻,4.5,2.7,3.9,3.8,2.4
Current mood: More issues than Vogue. 📚😤,2.8,2.5,3.2,1.6,4.7
"Personal ad: Wanted, someone to do my 'adulting' for me. Serious inquiries only. 💼🚫",3.6,2.8,3.5,2.3,4
Checkmate: I’m not arguing. I’m just explaining why I’m right. 🏆💬,3.1,4,2.7,1.5,3.9
FYI: I’m not a hot mess. I’m a spicy disaster. 🌶️☄️,4.2,1.5,4.4,2.9,4.3
"Life plan: Eat like no one’s watching. Or dance, whatever. 🍟💃",5,1.7,4.9,4.3,2.1
"Status update: If I was meant to be controlled, I would have come with a remote. 🎮🚫",3.9,4.4,2.6,1.9,3.2
Secret: Sometimes I pretend to be normal. But it gets boring. So I go back to being me. 🎭😉,4.7,2.9,4.1,3.6,2.8
Observation: I’m not really a control freak. But can I show you the right way to do that? 🧐✅,3.2,4.7,2.5,1.7,3.5
"Life lesson: If you can’t remember my name, just say ‘chocolate’... I’ll turn around. 🍫😜",4.3,2.4,4.6,3.9,1.8
"Mantra: I’m not stubborn, my way is just better. 💁‍♀️👑",2.7,4.1,2.3,1.4,3.7
Adulting tip: Socks disappear in the wash because they reincarnate as extra Tupperware lids. 🧦➡️🥡,4.6,2.8,3.9,3.7,2.3
Fitness motto: I do a thing called ‘what I want’ and it’s a great workout for my happiness. 💃🏽💪,5.1,2.2,4.7,4.3,1.9
"Personal insight: I’m not a shopaholic, I’m helping the economy. 💳💰",3.7,2,4.5,3.2,2.7
Career goal: Professional napper. Must be willing to work nights. 😴🌙,4,1.7,3.4,3.8,3.5
Love life update: Currently in a relationship with my Netflix account. ❤️📺,3.9,2.5,3.7,4.1,2.9
Travel plan: Let’s find some beautiful place to get lost... like my bed. ✈️🛏️,4.7,1.9,3.6,4,2.4
Housekeeping note: Cleaning your house while your kids are still growing is like shoveling the sidewalk before it stops snowing. 🏠❄️,3.2,4.5,2.9,3.1,3.8
"Financial wisdom: I’m great at multitasking. I can waste time, be unproductive, and procrastinate all at once. 💼⏰",3.8,1.5,4.2,3.3,3.1
"Self-care tip: Treat yourself like a dog. If you can’t eat it or play with it, pee on it and walk away. 🐶🚶‍♀️",5.2,2.1,4.8,4.5,1.7
Life philosophy: I’m not lazy. I’m on my energy-saving mode. 💤🔋,4.3,2.3,3.8,3.9,2.5
Diet update: I won’t be impressed with technology until I can download food. 🍔💾,4.9,2.7,4.3,4.2,2
"Style advice: Confidence is silent. Insecurities are loud. And I’m somewhere in the middle, with a megaphone. 📣😶",3.6,3,4.1,3.4,3.9
Daily affirmation: I am not weird. I am a limited edition. Something you don’t see that often. 😉🎩,5,2.9,4.6,4.4,1.8
Social update: My weekend plans include making no plans. 📅❌,4.1,2.4,3.5,4.3,2.6
Shopping logic: If you can’t stop thinking about it...buy it. Because life is short and you deserve it. 🛍️💭,3.9,1.8,4.4,3.7,2.8
Fitness reality: Running late is my cardio. 🏃‍♀️⏰,3.3,2,4,3.2,3.4
"Food for thought: I’m just a girl, standing in front of a salad, asking it to be a donut. 🥗🍩",4.8,1.6,4.9,4.6,2.2
Truth bomb: I whisper ‘what the heck’ to myself at least 20 times a day. 💣😵,3.5,2.5,3.9,3,4
Confession: I’m one drink away from telling everyone what I really think. 🍹👀,3.7,2.2,4.7,2.8,3.6
Proclamation: I hereby declare today ‘Annoy the heck out of your sibling’ Day. 👑🤪,4.4,2.6,4.2,2.4,3.2
"Life hack: Can’t afford a trip around the world? Spin a globe, point a finger, dream. 🌍💭",5.1,2,3.7,4.5,2.7
Observation: The most dangerous animal in the world is a silent smiling woman. 🦁👩,3.1,3.8,3.2,1.9,3.9
Mantra: Keep rolling your eyes. Maybe you’ll find a brain back there. 🙄🧠,2.7,4.2,3.3,1.5,4.3
"Announcement: I’m not arguing, I’m just explaining why I’m right! 🗣️👍",2.9,3.9,4.5,2,3.7
"Realization: I didn’t trip, I did the floor a favor. 🤭🛌",4.6,2.3,4.8,3.5,3
"Declaration: I’m not shy, I’m holding back my awesomeness so I don’t intimidate you. 🤫🌟",5.3,1.9,4.3,4.7,2.1
Parenting tip: Never laugh at your partner’s choices. You’re one of them. 😆👫,4.2,3.4,3.6,3.3,3.5
Fitness goal: I wear all black when I work out; it’s like a funeral for my fat. 🏋️‍♀️⚰️,3.4,4.1,3.1,2.5,4
Dating advice: Relationships are like a walk in the park. Jurassic Park. 🦖❤️,4.7,2.1,4,3.8,3.3
Self-love note: I’m not fat. God gave me airbags cause I’m precious. 🚗💖,5,1.7,4.6,4.9,2.4
"Career insight: I’m not bossy, I have leadership skills. 📊👩‍💼",3.2,4.7,3.4,2.2,3.8
Daily struggle: Why is ‘patience’ a virtue? Why can’t ‘hurry the heck up’ be a virtue? ⏳🏃‍♂️,2.5,3.5,4.2,1.7,4.1
Personal revelation: I’m not arguing. I’m simply explaining why I’m right. 🎤💬,2.8,4,3.9,1.8,3.9
Observation: I love the sound you make when you shut up. 🤐💕,2.3,3.3,3.7,1.4,4.2
"Life hack: If you’re wrong and you shut up, you’re wise. If you’re right and you shut up, you’re married. 🤐💍",4,3.6,3,3.1,3.4
Motivational thought: I don’t rise from the ashes. I make them. I’m the whole fire. 🔥🔥,5.2,2.4,4.4,4.3,2.9
Reality check: I’m not a hot mess. I’m a spicy disaster. 🌶️🔥,4.5,1.8,4.7,3.9,3
Personal motto: I’m not a control freak. I just know what you should be doing. 🙋‍♂️✅,3,4.9,3.2,2.3,4.4
Style tip: Wear that smile like someone is always capturing you. 😁📸,4.8,2.7,4.1,4.1,2.6
"Daily goal: Today, I will be as useless as the ‘g’ in lasagna. 🍝💆‍♀️",3.6,1.6,3.8,3.4,3.7
"Philosophy: I’m not weird, I’m a limited edition. Unique, rare, and – let’s face it – a little expensive. 💎😉",5.1,2.2,4.9,4.2,2
"Romantic wisdom: Love is like a fart. If you have to force it, it’s probably crap. 💨❤️",4.3,2.9,3.5,3,3.3
"Confession: Sometimes I prefer my own company, it’s quieter inside my bubble. 🤫🔵",5.4,3.1,2.6,4.8,1.8
"Real talk: Some days, I amaze myself. Other days, I look for my phone while I’m talking on it. 📱🤷‍♀️",3.9,2.4,4,3.6,3.5
Observation: They say ‘don’t try this at home’ so I’m coming over to your house to try it. 🏠🤪,4.7,1.5,4.8,3.2,2.7
"Life tip: If you fall, I’ll be there. -Floor 🤭🛋️",4,3.8,3.3,3.9,3.1
"Daily query: If we’re not supposed to eat at night, why is there a light in the fridge? 🌜🍔",4.5,2,3.9,4,2.8
"Health goal: I need a six-month holiday, twice a year. 🏖️📅",5,1.4,4.5,4.4,1.9
"Personal mantra: I’m not arguing, I’m just explaining why I’m right. 🤷‍♂️👍",2.6,3.7,4.1,1.6,4
Relationship status: Cuddle level – expert. Must have references. 🤗📜,4.2,2.3,4.3,3.7,2.5
"Self-esteem boost: I walk around like everything is fine, but deep down, inside my shoe, my sock is sliding off. 👟🧦",3.8,3,3.4,2.9,3.6
Current mood: Wanting to be invited but not wanting to go. 💌🚪,3.3,2.8,2.9,3.5,4.2
Pro tip: Never trust someone who doesn’t laugh. Their souls are suspect. 😂🕵️‍♀️,4.6,2.5,3.8,4.3,3
"Daily paradox: I’m busy doing things I don’t need to do, to avoid doing anything I should be doing. 🤹‍♂️💼",3.1,1.7,4.2,3.2,3.9
"Personal revelation: I never make the same mistake twice. I make it five or six times, just to be sure. 🔄🤷‍♂️",2.4,2,3.6,2.3,4.3
"Self-awareness level: I’m not always sarcastic. Sometimes, I’m sleeping. 😴😏",4.9,2.1,3.7,4.2,2.6
Social life status: My bed is a magical place where I suddenly remember everything I forgot to do. 🛏️💡,4.3,3.5,2.7,3.8,3.2
Financial plan: Why make billions when we can make... thousands? 💸😄,3.4,1.9,4.4,3.3,3.4
Parenting 101: ‘Because I said so’ is the reason for everything when you’re a mom or dad. 👩‍👧‍👦📢,2.7,4.6,3,2.4,3.7
Personal motto: I’m not a control freak. I just know what you should be doing. 🚧👀,2.3,4.8,3.1,1.5,4.5
"Life strategy: If at first you don’t succeed, then skydiving definitely isn’t for you. 🪂🚫",5.3,2.3,4,4.6,2.2
"Real talk: If you’re going to be a smartass, first you have to be smart. Otherwise, you’re just an ass. 🧠🍑",3,3.9,3.3,2,4
Current status: I’m not really a control freak. But... can I show you the right way to do that? 🧐✨,2.5,4.7,3.2,1.6,4.3
"Life truth: When your mum is mad at your dad, don’t let her brush your hair. 💁‍♀️💥",3.7,2.4,2.8,3,3.8
"Self-improvement plan: I’m on a seafood diet. I see food, and I eat it. 🦀🍔",4.1,1.8,4.3,3.9,2.9
Relationship philosophy: Marry someone who has a different favorite cereal than you so they won’t eat all of yours. 🥣💍,4.8,2.6,3.6,4.5,2.4
Personal rule: I don’t hold grudges. I remember facts. 📚🤔,2.2,4.4,2.7,1.4,4.2
Travel tip: Jet lag is for amateurs. 🌍😉,5,2,4.6,4.1,1.7
Fitness philosophy: I don’t believe in personal trainers. I believe in personal pizzas. 🍕🏋️‍♀️,3.5,1.5,4.5,3.4,3.3
Daily dilemma: I have so much to do that I’m going to bed. 🛌📋,4.2,1.7,3.9,4,3
Personal insight: I don’t have grey hair. I have wisdom highlights. 🤓💇‍♀️,4.7,3.2,3.4,3.7,2.8
Social observation: Why fall in love when you can fall asleep? 😴❤️,5.1,2.4,2.5,4.9,1.9
Life hack: Stressed spelled backwards is desserts. Coincidence? I think not. 🍰😉,4.4,2.8,3.8,4.2,2.6
"Personal mantra: I’m not arguing, I’m just explaining why I’m right. 💁‍♂️👍",2.1,3.8,4,1.3,4.4
Artistic view: Why be moody when you can shake your booty? 💃🏽😒,4.9,1.9,4.7,4.3,2.1
"Food for thought: If we’re not meant to have midnight snacks, why is there a light in the fridge? 🌜🍕",4.6,2.2,3.7,4.1,3.1
Parenting perspective: Cleaning your house with kids around is like brushing your teeth with Oreos. 🏠🍪,3.3,4.3,2.9,2.6,3.9
"Confession: I may look calm, but in my mind, I’ve pecked you 3 times. 🐔🤨",2.9,3.1,3.5,2.1,4.5
Fitness revelation: I consider on-hold music my cardio for the day. 🎵💪,4,1.6,4.6,3.8,2.3
"Romantic realization: Love is like a fart. If you have to force it, it’s probably crap. 💕💨",3.8,3.2,2.4,3.1,4.1
"Life strategy: If at first you don’t succeed, then skydiving definitely isn’t for you. 🛩️🚫",5.4,1.7,4.9,4.7,2
"Truth bomb: If I’m silent, it’s because there’s thunder inside me. Or I’m just chillin’, it depends. May the odds be ever in your favor. 🌩️🛋️",4.3,3.6,3,3.9,3.3
"Self-awareness: I’m not always sarcastic. Sometimes, I’m asleep. 😴🤨",4.1,2.5,3.9,4.4,2.7
"Life paradox: I’m busy doing things I don’t need to do, to avoid doing anything I should be doing. 🔄📅",2.8,1.3,4.3,2.4,4.6
"Career wisdom: I’m not bossy, I have leadership skills. 📈👩‍💼",3.2,4.5,3.4,2,4.2
Love wisdom: Relationships are like algebra. You always look at your X and wonder Y. 🧮💔,4.5,3.3,2.8,3.8,3
"Philosophy: I’m not weird, I’m a limited edition. 🎨😌",5.2,2.1,4.2,4.8,1.6
Observation: They say ‘don’t try this at home’ so I’m coming over to your house to try it. 🏡🤪,4.7,1.2,4.9,3.5,2.4
Financial wisdom: Why make billions when we can make... thousands? 💰😂,3.4,1.4,4.7,3.1,3.8
"Personal revelation: I never make the same mistake twice. I make it five or six times, just to be sure. 🔄😉",2.3,1.8,3.9,2,4.7
Social life status: My bed is a magical place where I suddenly remember everything I forgot to do. 🛏️🤔,4.8,3.7,2.4,4.2,2.9
Parenting 101: ‘Because I said so’ is the reason for everything when you’re a mom or dad. 👨‍👩‍👧‍👦🚓,2.6,4.9,2.5,1.7,4.3
"Life strategy: If at first you don’t succeed, then skydiving definitely isn’t for you. 🪂🚫",5.5,1.4,5,4.9,1.5
"Real talk: If you’re going to be a smartass, first you have to be smart. Otherwise, you’re just an ass. 💡🍑",2.7,4.2,2.9,1.9,4.4
Current status: I’m not really a control freak. But... can I show you the right way to do that? 👩‍🏫✨,2,5,2.6,1.2,4.9
"Life truth: When your mum is mad at your dad, don’t let her brush your hair. 👩‍👧‍👦🌪️",3.9,2.7,1.7,2.8,4.5
"Self-improvement plan: I’m on a seafood diet. I see food, and I eat it. 🐟🍔",4.6,1.1,4.8,4,2
Relationship philosophy: Marry someone who has a different favorite cereal than you so they won’t eat all of yours. 🍳💍,5,2.9,2.5,4.6,2.1
Personal rule: I don’t hold grudges. I remember facts. 📜🧐,1.9,4.7,1.4,1.1,4.8
Travel tip: Jet lag is for amateurs. ✈️😎,5.1,1.3,4.9,4.3,1.4
Fitness philosophy: I don’t believe in personal trainers. I believe in personal pizzas. 🍕💪,3.8,1,4.9,3.6,2.7
Daily dilemma: I have so much to do that I’m going to bed. 📚🛏️,4.4,1.2,4.1,4.2,2.2
Personal insight: I don’t have grey hair. I have wisdom highlights. 👵🌟,4.9,3.4,2.2,4,2.5
Social observation: Why fall in love when you can fall asleep? 💑😴,5.2,2.5,1.6,5,1.3
Life hack: Stressed spelled backwards is desserts. Coincidence? I think not. 🍦😲,4.7,3.1,2.7,4.1,2.9
"Personal mantra: I’m not arguing, I’m just explaining why I’m right. 🗣️👌",1.5,4.9,1.8,1,5
Artistic view: Why be moody when you can shake your booty? 🕺💢,5,1.1,5,4.4,1.2
"Food for thought: If we’re not meant to have midnight snacks, why is there a light in the fridge? 🌛🧀",4.8,1.5,3.9,4.3,2.4
Parenting perspective: Cleaning your house with kids around is like brushing your teeth with Oreos. 🧹🍫,3.1,5,1.5,2.1,4.6
"Confession: I may look calm, but in my mind, I’ve pecked you 3 times. 🦆🤫",3,2.6,3.6,1.9,4.8
Fitness revelation: I consider on-hold music my cardio for the day. 🎶💓,4.2,1.1,5,3.9,1.8
"Romantic realization: Love is like a fart. If you have to force it, it’s probably crap. ❤️💨",4,3.5,1.3,3.4,3.9
"Truth bomb: If I’m silent, it’s because there’s thunder inside me. Or I’m just chillin’, it depends. May the odds be ever in your favor. ⛈️🛌",4.5,3.8,2.1,4,3.1
"Self-awareness: I’m not always sarcastic. Sometimes, I’m asleep. 😪😒",4.3,2.8,3.4,4.6,2.3
"Life paradox: I’m busy doing things I don’t need to do, to avoid doing anything I should be doing. 🔄🗓️",2.4,1,4.7,1.9,5
"Career wisdom: I’m not bossy, I have leadership skills. 📊👨‍💼",2.9,4.8,2.6,1.7,4.7
Love wisdom: Relationships are like algebra. You always look at your X and wonder Y. ✖️❓,4.6,3.7,1.9,3.7,3.2
"Philosophy: I’m not weird, I’m a limited edition. 👽🎖️",5.3,1.6,3.7,5.1,1.1
Observation: They say ‘don’t try this at home’ so I’m coming over to your house to try it. 🏠😜,5,1,5.1,3.8,1.9
Financial wisdom: Why make billions when we can make... thousands? 💲🤪,3.3,1.2,5,2.8,4
"Personal revelation: I never make the same mistake twice. I make it five or six times, just to be sure. 🔄🤨",2,1.4,4.2,1.5,5
Social life status: My bed is a magical place where I suddenly remember everything I forgot to do. 🛌🧠,5,3.9,1.5,4.5,2.4
Parenting 101: ‘Because I said so’ is the reason for everything when you’re a mom or dad. 👨‍👩‍👧‍👦📢,2.3,5.1,1.3,1.3,4.9
"Life strategy: If at first you don’t succeed, then skydiving definitely isn’t for you. 🪂🚫",5.6,1,5.1,5,1
"Real talk: If you’re going to be a smartass, first you have to be smart. Otherwise, you’re just an ass. 🧠🐴",2.5,4.6,1.5,1.6,4.8
Current status: I’m not really a control freak. But... can I show you the right way to do that? 👩‍🏫🌟,1.8,5.2,1.2,1,5.1
"Life truth: When your mum is mad at your dad, don’t let her brush your hair. 👱‍♀️🌪️",4.1,2.9,1,3.3,4.7
"Self-improvement plan: I’m on a seafood diet. I see food, and I eat it. 🦐🍟",4.9,1,5.1,4.2,1.3
Relationship philosophy: Marry someone who has a different favorite cereal than you so they won’t eat all of yours. 🥣❤️,5.1,3.1,1.3,5,1.2
Personal rule: I don’t hold grudges. I remember facts. 📚🧠,1.7,5,1,1,5.2
Travel tip: Jet lag is for amateurs. 🌎😁,5.2,1.1,5.1,4.5,1
Fitness philosophy: I don’t believe in personal trainers. I believe in personal pizzas. 🍕🏃‍♀️,4,1.1,5.2,3.7,1.6
Daily dilemma: I have so much to do that I’m going to bed. 🗂️🛌,4.6,1.1,4.4,4.3,1.7
Personal insight: I don’t have grey hair. I have wisdom highlights. 👩‍🦳✨,5,3.6,1.1,4.7,1.9
Social observation: Why fall in love when you can fall asleep? 😍😴,5.3,2.7,1,5.2,1
Life hack: Stressed spelled backwards is desserts. Coincidence? I think not. 🍧🤔,4.8,3.3,1.6,4.4,2.5
"Personal mantra: I’m not arguing, I’m just explaining why I’m right. 💬👍",1.3,5.3,1,1,5.3
Artistic view: Why be moody when you can shake your booty? 🎵😞,5.1,1,5.2,4.5,1
"Food for thought: If we’re not meant to have midnight snacks, why is there a light in the fridge? 🌙🥪",5,1,4.3,4.6,1.5
Parenting perspective: Cleaning your house with kids around is like brushing your teeth with Oreos. 🧼🍪,2.8,5.2,1,1.8,5
"Confession: I may look calm, but in my mind, I’ve pecked you 3 times. 🐓🤐",2.7,2.9,3.3,1.6,5
Fitness revelation: I consider on-hold music my cardio for the day. 🎶💖,4.3,1,5.2,4,1.5
"Romantic realization: Love is like a fart. If you have to force it, it’s probably crap. 💘💨",4.1,3.8,1,3.5,4
"Truth bomb: If I’m silent, it’s because there’s thunder inside me. Or I’m just chillin’, it depends. May the odds be ever in your favor. 🌧️🛏️",4.6,4,1,4.1,2.9
"Self-awareness: I’m not always sarcastic. Sometimes, I’m asleep. 😴😏",4.5,3,2.5,4.9,1.8
"Life paradox: I’m busy doing things I don’t need to do, to avoid doing anything I should be doing. 🔄📆",2.1,1.1,5,1.4,5.2
"Career wisdom: I’m not bossy, I have leadership skills. 📉👩‍💼",2.6,5,1.2,1.4,5.1
Love wisdom: Relationships are like algebra. You always look at your X and wonder Y. ➗💔,4.8,4,1,3.9,2.8
"Philosophy: I’m not weird, I’m a limited edition. 🖼️🤗",5.4,1.3,3.2,5.3,1
Observation: They say ‘don’t try this at home’ so I’m coming over to your house to try it. 🏚️😛,5.2,1,5.3,3.9,1
Financial wisdom: Why make billions when we can make... thousands? 💵🤣,3.1,1.1,5.2,2.5,4.3
"Personal revelation: I never make the same mistake twice. I make it five or six times, just to be sure. 🔄😶",1.7,1.3,4.6,1.1,5.3
Social life status: My bed is a magical place where I suddenly remember everything I forgot to do. 🛏️🤯,5.1,4.1,1,4.8,1.8
Parenting 101: ‘Because I said so’ is the reason for everything when you’re a mom or dad. 👩‍👧‍👦🚨,2,5.3,1,1,5.2
"Life strategy: If at first you don’t succeed, then skydiving definitely isn’t for you. 🪂🚫",5.7,1,5.3,5.1,1
"Real talk: If you’re going to be a smartass, first you have to be smart. Otherwise, you’re just an ass. 🧠🐎",2.3,4.9,1,1.3,5.1
Current status: I’m not really a control freak. But... can I show you the right way to do that? 👨‍🏫🔮,1.5,5.4,1,1,5.3
"Life truth: When your mum is mad at your dad, don’t let her brush your hair. 👧‍🦱🌬️",4.3,3.1,1,3.6,4.8
"Self-improvement plan: I’m on a seafood diet. I see food, and I eat it. 🐠🍕",5,1,5.3,4.4,1
Relationship philosophy: Marry someone who has a different favorite cereal than you so they won’t eat all of yours. 🥛💑,5.2,3.4,1,5.1,1
Just binge-watched the entire series overnight. Who needs sleep anyway? #teamnosleep 🌙📺,4.5,1.8,4,2.6,3.9
"Is it just me, or does choosing a filter take longer than writing a midterm essay? 🤳💭",4.2,3,3.8,3.5,2.9
"Deleted social media for a day. It was tough, but I think I reached enlightenment. ✨🧘‍♀️",5.1,2.4,2.5,3.8,2.3
Remember the time when 'brb' meant 'be right back' and not 'I'm ignoring you forever'? 💔🕰️,3.8,3.2,4.2,2.9,3.7
"Can't decide if I need a hug, 6 cups of coffee, or 6 months of vacation. 🤗☕✈️",3.9,2,4,3.4,4.5
"Why do job applications require 5 years of experience for an entry-level position? I'm 20, not a time traveler. 🕰️🤷‍♂️",4.3,3.5,3.7,2.8,3.2
I swear my room has two states: 'Neat for Instagram' and 'Looks like a tornado hit'. There's no in-between. 🌪️📸,4,2.1,3.9,3.2,2.7
"My grocery shopping is 10% food and 90% snacks. Balance is key, right? 🍩🥦",3.7,1.9,4.4,4.1,2.5
Ordered a pizza and ate it all. Fitness goals: being able to eat more pizza. 🍕💪,3.5,2.3,4.1,3.7,2.3
Is adulthood just clicking 'Forgot Password' over and over until you die? 💻🔒,4.2,2.6,3.6,3,3.4
"Studying online sounded cool until I realized it's just me, alone with my snacks and distractions. 📚🍪",4.1,2.4,2.9,3.3,3.9
Why is 'adulting' not a subject in school? I need a refund on my education. 🏫💸,4.7,3.1,4.3,2.5,3.1
"I speak fluent sarcasm, meme, and song lyrics. Multilingual, right? 🙃🎵",5,2.2,4.6,3.8,2.8
Every group project has that one person who's basically a ghost. Spoiler: It's me. 👻📚,3.3,1.7,2.3,2.7,3.5
Life hack: you can't fail if you don't try. Right? 😅🚫,3.9,1.5,3.2,2.9,4.2
Who knew being in your 20s is just texting friends 'We should hang out soon' over and over until one of you dies? 📱⚰️,4,2.8,3.5,3.1,3.7
Obsessed with canceling plans that I never wanted to be a part of. Ultimate bliss. 😌🚫,3.6,2.3,1.9,2.6,3.2
"Is my life a joke to you? Wait, don't answer that. 😔🎭",3.7,2.1,3.8,2.4,4.7
"I have 3 moods: Skip every song on my playlist, let the music play without interruption, and play the same song on repeat. 🎶🔄",4.5,2.7,3.9,3.6,3
"Permanent mood: 'Sorry, I'm late... I didn't want to come.' 🕰️🚶‍♀️",3.8,1.6,3.1,2.2,3.4
"Just learned how to cook ramen 5 different ways, so I'm basically a chef now. #MasterChef 🍜",4.2,3,4.1,3.7,2.5
"I have 99 problems, and my phone battery is all of them. 🔋😩",3.5,2.8,4.3,3.2,4
Skincare routine: 10 steps. Preparing for my future: still figuring out step 1. 🤷‍♀️💆‍♀️,4.1,2.3,4,3,3.8
Can we have a moment of silence for all the outfits I bought for 2020 and never wore? 👗👔,4.7,2.9,3.9,2.8,3.5
My diet is a mysterious cycle of superfoods and junk food. No in-between. 🥑🍕,4,2.2,4.2,3.5,2.9
"Life update: Googled 'how to win an argument with your cat'... so, yeah. 🐱🗣️",5.2,2.5,3.8,4,2.7
I've reached the 'adding things I've already done to my to-do list just to cross them off' level of productivity. ✅😂,3.9,4.2,3.6,3.3,2.8
Starting a petition to count 'staying in bed all day' as a personality trait. Who's in? 🛌✨,3.7,1.8,3,3.9,4.2
Today's mood: 'I did not wake up to be mediocre.' Also me: *watches 6 hours of Netflix* 📺🛋️,4.5,2,3.7,2.7,3.4
Sending 'OK' with the period is the text version of a slap. Change my mind. 😤✋,3.6,3.3,4.1,2.3,4
